File: /home/c8a/faf/folder2/others/file_5.log, Old Perm: 666, New Perm: 600
File: /home/c8a/faf/folder2/others/file_1.log, Old Perm: 666, New Perm: 600
File: /home/c8a/faf/folder2/others/file_2.log, Old Perm: 666, New Perm: 600
File: /home/c8a/faf/folder2/others/file_3.log, Old Perm: 666, New Perm: 600
File: /home/c8a/faf/folder2/others/file_3.json, Old Perm: 666, New Perm: 600
File: /home/c8a/faf/folder2/others/file_1.json, Old Perm: 666, New Perm: 600
File: /home/c8a/faf/folder2/others/file_2.json, Old Perm: 666, New Perm: 600
File: /home/c8a/faf/folder2/others/file_5.json, Old Perm: 666, New Perm: 600
File: /home/c8a/faf/folder2/others/file_4.log, Old Perm: 666, New Perm: 600
File: /home/c8a/faf/folder2/others/file_4.json, Old Perm: 666, New Perm: 600
File: /home/c8a/faf/folder2/documents/file_1.txt, Old Perm: 666, New Perm: 600
File: /home/c8a/faf/folder2/documents/file_4.txt, Old Perm: 666, New Perm: 600
File: /home/c8a/faf/folder2/documents/file_3.txt, Old Perm: 666, New Perm: 600
File: /home/c8a/faf/folder2/documents/file_5.txt, Old Perm: 666, New Perm: 600
File: /home/c8a/faf/folder2/documents/file_2.txt, Old Perm: 666, New Perm: 600
File: /home/c8a/faf/folder2/spreadsheets/file_1.csv, Old Perm: 666, New Perm: 600
File: /home/c8a/faf/folder2/spreadsheets/file_3.csv, Old Perm: 666, New Perm: 600
File: /home/c8a/faf/folder2/spreadsheets/file_2.csv, Old Perm: 666, New Perm: 600
File: /home/c8a/faf/folder2/spreadsheets/file_4.csv, Old Perm: 666, New Perm: 600
File: /home/c8a/faf/folder2/spreadsheets/file_5.csv, Old Perm: 666, New Perm: 600
Directory: /home/c8a/faf/folder2, Old Perm: 777, New Perm: 700
Directory: /home/c8a/faf/folder2/others, Old Perm: 775, New Perm: 700
Directory: /home/c8a/faf/folder2/documents, Old Perm: 775, New Perm: 700
Directory: /home/c8a/faf/folder2/code, Old Perm: 775, New Perm: 700
Directory: /home/c8a/faf/folder2/code/java, Old Perm: 775, New Perm: 700
Directory: /home/c8a/faf/folder2/code/cpp, Old Perm: 775, New Perm: 700
Directory: /home/c8a/faf/folder2/code/c, Old Perm: 775, New Perm: 700
Directory: /home/c8a/faf/folder2/code/html, Old Perm: 775, New Perm: 700
Directory: /home/c8a/faf/folder2/code/python, Old Perm: 775, New Perm: 700
Directory: /home/c8a/faf/folder2/code/javascript, Old Perm: 775, New Perm: 700
Directory: /home/c8a/faf/folder2/code/css, Old Perm: 775, New Perm: 700
Directory: /home/c8a/faf/folder2/videos, Old Perm: 775, New Perm: 700
Directory: /home/c8a/faf/folder2/presentations, Old Perm: 775, New Perm: 700
Directory: /home/c8a/faf/folder2/images, Old Perm: 775, New Perm: 700
Directory: /home/c8a/faf/folder2/spreadsheets, Old Perm: 775, New Perm: 700
